Echte lampionplant,3
Echte marjolein,2
Echte salie,3
Echte stijve ogentroost,4
Echte tijm,3
Echte valeriaan,3
Eekhoorngras,4
Eenarig wollegras,5
Eenbes,5
Eenbloemig parelgras,4
Eenbloemig wintergroen,4
Eenbloemige veldkers,3
Eenbloemige zeekraal,2
Eendagsbloem,3
Eenjarige hardbloem,3
Eenstijlige meidoorn,4
Eenzijdig wintergroen,3
Egelantier,5
Egelboterbloem,4
Egeria,2
Eironde leeuwenbek,3
Eivormige waterbies,2
Elzenzegge,4
Engels gras,4
Engels lepelblad,3
Engels raaigras,5
Engels slijkgras,6
Engelse alant,4
Enteromorpha,1
Epimedium,3
Epipactis,5
Es,6
Esdoornganzenvoet,5
Esparcette,4
Europese blazenstruik,4
Europese hanenpoot,5
Europese larix,5
Evene,2
Fallopia,4
Fazantenbes,3
Fenegriek,3
Festuca,1
Fijn akkerscherm,5
Fijn buiswier,2
Fijn goudscherm,4
Fijn hoornblad,2
Fijn schapengras,3
Fijn venushaar,2
Fijne kervel,5
Fijne ooievaarsbek,3
Fijne waterranonkel,3
Fijnspar,3
Fijnstengelige vrouwenmantel,2
Fioringras,4
Fladderiep,7
Fluitenkruid,4
Fluweelblad,4
Forez-streepvaren,1
Forsythia,1
Fraai duizendguldenkruid,4
Fraai hertshooi,3
Fraaie vrouwenmantel,2
Framboos,3
Franjegentiaan,4
Franjekelk,3
Frans walstro,3
Franse aardkastanje,4
Franse amarant,5
Franse boekweit,3
Franse roos,4
Franse silene,4
Franse tamarisk,5
Gaffelsilene,3
Gaffelwier,3
Galega,6
Galigaan,3
Gaspeldoorn,4
Gebogen driehoeksvaren,3
Gedeelde meelbes,2
Geel cypergras,2
Geel monnikskruid,2
Geel nagelkruid,4
Geel viltkruid,2
Geel vingerhoedskruid,2
Geel vogelpootje,2
Geel walstro,4
Geel zonneroosje,4
Geelgroen afrikaantje,1
Geelgroene vrouwenmantel,3
Geelgroene wespenorchis,4
Geelgroene zegge,4
Geelhartje,4
Geelrode naaldaar,5
Geelwitte helmbloem,4
Geelwitte moerasbloem,4
Geelwitte ossentong,3
Gegroefde veldsla,4
Gehoornde klaverzuring,5
Geitenbaard,4
Gekield sterrenkroos,2
Gekielde dravik,4
Geknikte vossenstaart,3
Gekroesd fonteinkruid,4
Gekroesde melkdistel,4
Gekroonde ganzenbloem,3
Gelderse roos,5
Gele anemoon,5
Gele dovenetel,3
Gele ganzenbloem,5
Gele helmbloem,5
Gele hoornpapaver,5
Gele kamille,4
Gele kornoelje,3
Gele krokus,3
Gele lis,5
Gele lupine,3
Gele maskerbloem,2
Gele monnikskap,4
Gele morgenster,2
Gele plomp,3
Gele ribes,3
Gele waterkers,5
Gele wikke,4
Gele zeepboom,4
Gele zegge,6
Gelobde maanvaren,3
Gelobde melde,4
Genaalde streepvaren,2
Genadekruid,3
Geoord helmkruid,5
Geoorde veldsla,4
Geoorde wilg,4
Geoorde zuring,6
Geplooide vrouwenmantel,2
Gerande schijnspurie,4
Gerst,4
Gerstdravik,1
Geschubde mannetjesvaren,3
Gespleten hennepnetel,3
Gesteeld glaskroos,3
Gesteelde spiesmelde,3
Gesteelde zannichellia,1
Gesteelde zoutmelde,5
Gestreepte greppelrus,2
Gestreepte klaver,3
Gestreepte leeuwenbek,4
Gestreepte winde,5
Gestreepte witbol,4
Getand vlotgras,3
Getande veldsla,3
Getande weegbree,3
Gevinde kortsteel,4
Gevlamde fijnstraal,2
Gevlekt biggenkruid,3
Gevlekt hertshooi,1
Gevlekt longkruid,3
Gevlekt zonneroosje,5
Gevlekte aronskelk,4
Gevlekte dovenetel,5
Gevlekte orchis,4
Gevlekte rupsklaver,4
Gevlekte scheerling,4
Gevleugeld helmkruid,5
Gevleugeld hertshooi,3
Gevleugeld sterrenkroos,4
Gewimperd langbaardgras,2
Gewone agrimonie,5
Gewone berenklauw,5
Gewone bermzegge,4
Gewone braam,2
Gewone brunel,4
Gewone dophei,3
Gewone dotterbloem,4
Gewone duivenkervel,3
Gewone eikvaren,4
Gewone engelwortel,5
Gewone ereprijs,5
Gewone esdoorn,4
Gewone glanshaver,2
Gewone hennepnetel,3
Gewone hoornbloem,3
Gewone klit,3
Gewone margriet,3
Gewone melkdistel,3
Gewone ossentong,4
Gewone paardenbloem,4
Gewone raket,4
Gewone rolklaver,3
Gewone salomonszegel,4
Gewone smeerwortel,5
Gewone spurrie,3
Gewone steenraket,4
Gewone veenbies,4
Gewone veldbies,4
Gewone veldsla,3
Gewone vleugeltjesbloem,3
Gewone vlier,9
Gewone vogelkers,4
Gewone vogelmelk,4
Gewone waterbies,4
Gewone waternavel,4
Gewone zandmuur,3
Gewone zilverspar,4
Gewone zoutmelde,4
Gewoon barbarakruid,3
Gewoon biggenkruid,4
Gewoon duizendblad,4
Gewoon kweldergras,4
Gewoon langbaardgras,6
Gewoon sneeuwklokje,6
Gewoon speenkruid,2
Gewoon sterrenkroos,3
Gewoon struisgras,3
Gewoon varkensgras,7
Gewoon vingerhoedskruid,5
Gezaagde zee-eik,2
Gifsla,4
Gifsumak,3
Gingellikruid,3
Gipskruid,5
Glad biggenkruid,4
Glad parelzaad,4
Glad vingergras,4
Glad walstro,4
Gladde aster,3
Gladde ereprijs,4
Gladde iep,5
Gladde witbol,4
Gladde zegge,5
Glansbesnachtschade,2
Glanshaver,5
Glanzend kruiskruid,2
Glanzig fonteinkruid,6
Glanzige hoornbloem,1
Glanzige ooievaarsbek,5
Glyceria,2
Goudbes,5
Gouden ribzaad,3
Goudenregen,3
Goudgele honingklaver,3
Goudhaver,5
Goudknopje,3
Goudzuring,5
Graskers,2
Grasklokje,3
Graslathyrus,4
Grasmuur,3
Grauwe abeel,5
Grauwe wilg,2
Greppelrus,3
Griekse alant,4
Griffithsia,1
Grijs havikskruid,2
Grijs kattenkruid,3
Grijskruid,4
Grijze mosterd,4
Grindstijfgras,3
Groefwier,2
Groene bermzegge,4
Groene naaldaar,4
Groene nachtorchis,4
Groensteel,3
Grof hoornblad,3
Grondster,4
Groot akkerscherm,6
Groot blaasjeskruid,4
Groot bronkruid,2
Groot glaskruid,3
Groot heksenkruid,4
Groot hoefblad,10
Groot kaasjeskruid,3
Groot moerasscherm,5
Groot nagelkruid,3
Groot nimfkruid,2
Groot schapengras,1
Groot spiegelklokje,5
Groot springzaad,4
Groot streepzaad,3
